Περιοχή,Διαμέρισμα
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2ο
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,5ο
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3ο
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,4ο
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,4ο
ΑΚΡΟΠΟΛΗ,1ο
ΑΜΠΕΛΟΚΗΠΟΙ,7ο
ΑΝΩ ΚΥΨΕΛΗ,6ο
ΑΝΩ ΠΑΤΗΣΙΑ,6ο
ΒΟΤΑΝΙΚΟΣ,3ο
ΓΚΑΖΙ,3ο
ΓΚΥΖΗ,7ο
ΓΟΥΒΑ,2ο
ΓΟΥΔΙ,7ο
ΕΛΛΗΝΟΡΩΣΩΝ,7ο
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1ο
ΖΑΠΠΕΙΟ,2ο
ΘΗΣΕΙΟ,3ο
ΙΛΙΣΙΑ,1ο
ΚΕΡΑΜΕΙΚΟΣ,3ο
ΚΟΛΟΚΥΝΘΟΥ,4ο
ΚΟΛΩΝΑΚΙ,1ο
ΚΟΛΩΝΟΣ,4ο
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,1ο
ΚΥΨΕΛΗ,6ο
ΛΥΚΑΒΗΤΤΟΣ,1ο
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,1ο
ΝΕΑ ΚΥΨΕΛΗ,6ο
ΝΕΟΣ ΚΟΣΜΟΣ,2ο
ΝΙΡΒΑΝΑ,5ο
ΠΑΓΚΡΑΤΙ,2ο
ΠΑΤΗΣΙΑ,5ο
ΠΕΔΙΟ ΑΡΕΩΣ,6ο
ΠΕΝΤΑΓΩΝΟ,7ο
ΠΕΤΡΑΛΩΝΑ,3ο
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,4ο
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,4ο
ΠΟΛΥΓΩΝΟ,7ο
ΠΡΟΜΠΟΝΑ,5ο
ΡΗΓΙΛΛΗΣ,1ο
ΡΙΖΟΥΠΟΛΗ,5ο
ΡΟΥΦ,3ο
ΣΕΠΟΛΙΑ,4ο
ΣΤΑΔΙΟ,2ο
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,6ο
